student_id,time_organization
13,***
369,***
4672,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*A egalite : le jour et en soiree*Jamais
5554,***
5611,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*A egalite : le jour et en soiree*Parfois
4462,A des moments tres variables*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Parfois
6132,***
608,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite*A egalite : le jour et en soiree*Jamais
4344,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
4051,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
4192,A des moments tres variables*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
2438,***
3840,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
2295,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
5961,***
510,***
4684,A des moments tres variables*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
2608,***
4355,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1188,*En semaine ou la fin de semaine a egalite**Parfois
5838,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
3673,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
1040,*En semaine ou la fin de semaine a egalite*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_3_dummy_default*Jamais
2602,***
1875,***
1685,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine**Jamais
4455,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Toujours
389,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
321,***
1295,***
5992,***
4949,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_4_dummy_default
2379,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
3038,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
2274,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
4338,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite**Jamais
4839,***
