student_id,grade,attestation,time_organization
13,8,notpassing,***
369,0,notpassing,***
4672,89,generating,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*A egalite : le jour et en soiree*Jamais
5554,20,notpassing,***
5611,84,generating,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*A egalite : le jour et en soiree*Parfois
4462,90,generating,A des moments tres variables*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Parfois
6132,55,notpassing,***
608,86,generating,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite*A egalite : le jour et en soiree*Jamais
4344,91,generating,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
4051,91,generating,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
4192,33,notpassing,A des moments tres variables*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
2438,9,notpassing,***
3840,74,generating,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
2295,84,generating,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
5961,32,notpassing,***
510,63,generating,***
4684,89,generating,A des moments tres variables*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
2608,92,generating,***
4355,85,generating,A des moments tres variables*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1188,74,generating,*En semaine ou la fin de semaine a egalite**Parfois
5838,93,generating,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
3673,79,generating,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
1040,68,generating,*En semaine ou la fin de semaine a egalite*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_3_dummy_default*Jamais
2602,89,generating,***
1875,89,generating,***
1685,91,generating,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine**Jamais
4455,80,generating,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Toujours
389,85,generating,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
321,83,generating,***
1295,93,generating,***
5992,10,notpassing,***
4949,82,generating,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_4_dummy_default
2379,89,generating,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
3038,96,generating,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
