student_id,grade,attestation
5,3,notpassing
6,0,notpassing
8,0,notpassing
13,26,notpassing
33,0,notpassing
132,0,notpassing
238,0,notpassing
240,0,notpassing
248,0,notpassing
250,0,notpassing
260,95,generating
261,0,notpassing
262,0,notpassing
263,0,notpassing
264,0,notpassing
265,0,notpassing
266,87,generating
267,92,generating
269,0,notpassing
273,0,notpassing
275,5,notpassing
276,22,notpassing
277,0,notpassing
278,0,notpassing
281,0,notpassing
284,0,notpassing
288,0,notpassing
294,0,notpassing
295,83,generating
299,86,generating
300,0,notpassing
301,76,generating
302,0,notpassing
303,95,generating
304,0,notpassing
307,97,generating
308,0,notpassing
310,0,notpassing
315,98,generating
317,0,notpassing
318,0,notpassing
323,11,notpassing
325,0,notpassing
327,92,generating
329,5,notpassing
330,0,notpassing
332,8,notpassing
334,7,notpassing
335,0,notpassing
336,0,notpassing
338,0,notpassing
339,4,notpassing
342,0,notpassing
343,1,notpassing
344,86,generating
346,97,generating
348,0,notpassing
349,95,generating
351,3,notpassing
352,96,generating
354,0,notpassing
356,30,notpassing
357,0,notpassing
359,0,notpassing
360,0,notpassing
361,0,notpassing
363,9,notpassing
364,0,notpassing
366,8,notpassing
367,89,generating
368,0,notpassing
372,0,notpassing
374,86,generating
375,0,notpassing
378,98,generating
381,5,notpassing
383,0,notpassing
384,0,notpassing
385,13,notpassing
387,0,notpassing
388,20,notpassing
389,46,notpassing
392,3,notpassing
393,73,generating
394,0,notpassing
398,33,notpassing
400,0,notpassing
402,18,notpassing
403,46,notpassing
405,0,notpassing
406,10,notpassing
407,11,notpassing
408,23,notpassing
410,0,notpassing
412,0,notpassing
415,0,notpassing
416,90,generating
417,0,notpassing
418,30,notpassing
419,0,notpassing
420,81,generating
422,1,notpassing
423,4,notpassing
424,0,notpassing
425,83,generating
426,3,notpassing
427,0,notpassing
428,95,generating
429,0,notpassing
430,0,notpassing
432,94,generating
433,0,notpassing
436,96,generating
439,0,notpassing
440,0,notpassing
441,3,notpassing
442,20,notpassing
443,97,generating
444,5,notpassing
445,5,notpassing
446,0,notpassing
447,0,notpassing
449,0,notpassing
451,69,generating
453,4,notpassing
454,4,notpassing
455,0,notpassing
457,0,notpassing
458,0,notpassing
460,0,notpassing
461,8,notpassing
462,94,generating
464,0,notpassing
465,0,notpassing
466,76,generating
468,0,notpassing
469,97,generating
470,87,generating
472,4,notpassing
473,55,notpassing
474,3,notpassing
475,5,notpassing
476,0,notpassing
477,0,notpassing
478,45,notpassing
479,6,notpassing
480,0,notpassing
481,13,notpassing
483,0,notpassing
484,0,notpassing
486,0,notpassing
487,0,notpassing
490,96,generating
492,0,notpassing
493,0,notpassing
494,0,notpassing
495,78,generating
496,0,notpassing
497,4,notpassing
498,0,notpassing
499,0,notpassing
501,2,notpassing
504,0,notpassing
506,3,notpassing
510,68,generating
514,90,generating
515,29,notpassing
516,0,notpassing
517,0,notpassing
519,95,generating
520,0,notpassing
521,0,notpassing
522,0,notpassing
523,0,notpassing
527,0,notpassing
528,3,notpassing
531,23,notpassing
532,7,notpassing
533,92,generating
536,32,notpassing
537,28,notpassing
538,85,generating
539,89,generating
540,93,generating
541,95,generating
544,0,notpassing
545,0,notpassing
549,0,notpassing
550,0,notpassing
553,97,generating
554,0,notpassing
555,0,notpassing
556,10,notpassing
559,0,notpassing
565,4,notpassing
566,0,notpassing
570,0,notpassing
571,100,generating
572,94,generating
573,8,notpassing
577,0,notpassing
580,89,generating
582,5,notpassing
585,73,generating
586,4,notpassing
588,94,generating
589,0,notpassing
590,0,notpassing
592,0,notpassing
595,0,notpassing
596,0,notpassing
597,0,notpassing
601,0,notpassing
602,0,notpassing
603,4,notpassing
605,0,notpassing
606,0,notpassing
607,88,generating
612,79,generating
614,92,generating
615,0,notpassing
616,48,notpassing
619,0,notpassing
621,95,generating
623,33,notpassing
624,89,generating
626,0,notpassing
628,0,notpassing
629,91,generating
631,3,notpassing
633,0,notpassing
634,0,notpassing
638,72,generating
639,0,notpassing
644,9,notpassing
645,0,notpassing
646,18,notpassing
649,0,notpassing
651,97,generating
653,0,notpassing
654,100,generating
655,0,notpassing
656,0,notpassing
657,96,generating
659,0,notpassing
661,0,notpassing
662,0,notpassing
663,1,notpassing
665,0,notpassing
666,3,notpassing
670,0,notpassing
671,0,notpassing
674,0,notpassing
675,6,notpassing
681,0,notpassing
682,0,notpassing
684,15,notpassing
687,99,generating
688,0,notpassing
691,0,notpassing
692,4,notpassing
698,0,notpassing
699,3,notpassing
701,85,generating
702,90,generating
707,38,notpassing
709,0,notpassing
710,0,notpassing
712,0,notpassing
715,0,notpassing
717,82,generating
719,85,generating
721,95,generating
731,0,notpassing
736,94,generating
737,0,notpassing
739,77,generating
742,97,generating
749,3,notpassing
750,0,notpassing
752,0,notpassing
754,0,notpassing
755,18,notpassing
758,13,notpassing
759,93,generating
761,0,notpassing
764,0,notpassing
766,0,notpassing
768,0,notpassing
772,0,notpassing
773,0,notpassing
781,89,generating
782,0,notpassing
784,0,notpassing
785,74,generating
788,81,generating
789,84,generating
