student_id,sexe
3320,
13,femme
3985,
4746,femme
3977,homme
4884,femme
4533,femme
4084,femme
332,femme
3421,femme
299,femme
4726,femme
4857,homme
4588,femme
4284,homme
2958,femme
2261,femme
1044,homme
462,homme
4229,femme
4614,femme
4681,femme
4801,femme
2623,femme
1146,homme
3660,homme
4910,homme
3784,homme
3939,homme
4149,homme
4069,homme
4088,femme
2116,femme
4406,femme
318,
4214,femme
1254,femme
4919,femme
378,homme
2804,homme
1245,homme
4250,homme
3285,femme
1692,femme
4026,homme
4889,
394,femme
3107,femme
1314,femme
4176,femme
4907,femme
4855,femme
2081,femme
863,femme
870,homme
4220,homme
4932,femme
1479,femme
2084,
2825,femme
1716,femme
921,femme
4591,femme
1355,femme
3385,
2037,femme
3988,homme
4826,homme
3792,femme
1537,femme
2212,homme
1705,femme
4489,
1939,femme
2101,homme
1496,femme
1080,femme
389,femme
4929,femme
4126,
1514,
4885,homme
3289,homme
1285,femme
4715,homme
4199,femme
3976,femme
4945,homme
1812,homme
4374,femme
4818,homme
4517,
1659,homme
4333,homme
3758,homme
4109,femme
3853,femme
1893,homme
1663,homme
3051,femme
4171,femme
1557,femme
433,
659,femme
3206,femme
4508,femme
803,femme
4541,homme
4324,femme
3795,femme
649,homme
1980,femme
4950,femme
3381,femme
1989,femme
263,femme
2992,homme
1474,femme
4168,homme
3856,homme
4951,femme
1699,homme
4707,femme
629,femme
631,femme
4140,femme
1550,femme
4059,femme
1607,femme
2127,femme
3981,femme
3707,homme
1045,femme
4625,femme
2864,femme
3865,homme
4125,homme
1686,femme
327,homme
1808,femme
3223,femme
1788,femme
4150,femme
2817,homme
4012,femme
3142,femme
3123,homme
4584,femme
3942,femme
473,homme
4217,femme
1335,homme
1294,homme
3155,homme
3535,homme
4247,femme
1525,homme
4249,femme
1008,femme
1310,homme
1817,femme
2039,femme
1676,femme
2012,femme
1433,
440,
3639,femme
2185,homme
1628,femme
432,homme
4529,
3466,homme
2943,femme
1727,femme
2453,femme
2252,femme
2841,femme
1601,femme
2912,femme
2237,homme
1478,femme
580,femme
3460,femme
565,femme
442,homme
556,homme
506,homme
996,femme
1857,homme
4626,femme
3759,homme
4477,femme
3568,femme
1879,homme
808,homme
354,homme
1616,femme
2326,femme
4501,homme
2509,femme
4864,homme
2041,homme
4314,homme
3919,femme
1861,homme
3396,homme
4653,femme
496,homme
2030,femme
439,femme
3550,
2423,homme
4332,homme
2922,femme
4975,femme
585,homme
624,homme
1763,femme
3410,homme
1662,femme
428,homme
1797,femme
1873,homme
3270,femme
1445,
2406,homme
1548,femme
1687,homme
1968,homme
2393,femme
2045,femme
4978,homme
2809,femme
2553,femme
4576,femme
3450,homme
2091,femme
4187,femme
1906,
2359,femme
2779,homme
2464,femme
4305,femme
4121,homme
1707,femme
4194,homme
1840,homme
1804,femme
266,homme
4835,femme
2053,homme
4309,femme
2246,homme
802,femme
4624,homme
323,homme
1987,homme
1626,femme
2161,homme
1201,femme
4304,homme
4295,femme
2341,femme
1586,femme
481,femme
981,femme
2981,femme
2366,femme
4741,homme
759,femme
1420,homme
1590,homme
4618,femme
1347,femme
4207,homme
2730,femme
533,homme
1631,femme
646,homme
1795,femme
2122,femme
537,femme
1798,femme
4396,femme
4676,femme
2688,homme
451,femme
1610,homme
4122,homme
4724,homme
864,femme
1901,homme
878,homme
4998,
3780,homme
343,homme
4564,femme
1122,homme
3982,homme
3029,femme
1123,femme
4991,
2327,femme
261,homme
1482,femme
4298,femme
2307,femme
4922,femme
4587,femme
2955,femme
4170,femme
2413,femme
2248,homme
1579,femme
4117,femme
1441,homme
480,
2899,homme
1439,femme
3519,homme
4822,homme
4546,homme
1850,homme
5002,femme
2253,homme
403,femme
4398,femme
4898,homme
436,homme
3600,homme
928,femme
4758,homme
5000,femme
4404,homme
4902,homme
1848,homme
1988,femme
1740,femme
1448,homme
3960,homme
4807,homme
799,femme
3125,femme
3309,homme
1915,femme
2000,femme
2193,femme
1739,
