student_id,age
3320,
13,58
3985,
4746,68
3977,26
4884,25
4533,46
4084,29
332,55
3421,22
299,28
4726,63
4857,24
4588,25
4284,65
2958,31
2261,30
1044,28
462,56
4229,37
4614,52
4681,42
4801,58
2623,54
1146,32
3660,21
4910,51
3784,63
3939,60
4149,33
4069,29
4088,33
2116,54
4406,60
318,
4214,23
1254,56
4919,57
378,70
2804,25
1245,71
4250,24
3285,47
1692,63
4026,21
4889,
394,28
3107,65
1314,67
4176,30
4907,59
4855,68
2081,37
863,46
870,66
4220,66
4932,56
1479,37
2084,
2825,33
1716,60
921,55
4591,41
1355,39
3385,
2037,47
3988,35
4826,28
3792,35
1537,59
2212,58
1705,65
4489,
1939,66
2101,60
1496,34
1080,27
389,31
4929,40
4126,
1514,
4885,64
3289,41
1285,51
4715,64
4199,61
3976,55
4945,41
1812,72
4374,54
4818,41
4517,
1659,44
4333,27
3758,30
4109,25
3853,59
1893,32
1663,53
3051,25
4171,45
1557,26
433,
659,46
3206,51
4508,32
803,24
4541,49
4324,45
3795,29
649,28
1980,31
4950,32
3381,22
1989,42
263,25
2992,
1474,21
4168,25
3856,34
4951,35
1699,31
4707,46
629,36
631,43
4140,36
1550,27
4059,30
1607,60
2127,61
3981,24
3707,31
1045,40
4625,36
2864,50
3865,39
4125,49
1686,48
327,63
1808,71
3223,67
1788,64
4150,37
2817,61
4012,23
3142,26
3123,37
4584,29
3942,21
473,56
4217,67
1335,39
1294,54
3155,35
3535,46
4247,38
1525,62
4249,52
1008,32
1310,54
1817,59
2039,58
1676,59
2012,
1433,
440,
3639,49
2185,58
1628,63
432,67
4529,
3466,70
2943,
1727,72
2453,30
2252,59
2841,63
1601,42
2912,55
2237,66
1478,38
580,64
3460,61
565,81
442,48
556,65
506,62
996,34
1857,41
4626,24
3759,24
4477,55
3568,43
1879,47
808,35
354,28
1616,12
2326,15
4501,52
2509,69
4864,58
2041,54
4314,56
3919,53
1861,78
3396,40
4653,76
496,58
2030,58
439,33
3550,70
2423,65
4332,29
2922,68
4975,59
585,61
624,66
1763,45
3410,67
1662,41
428,54
1797,39
1873,41
3270,46
1445,66
2406,63
1548,68
1687,64
1968,62
2393,57
2045,46
4978,22
2809,57
2553,69
4576,52
3450,22
2091,62
4187,20
1906,
2359,54
2779,28
2464,69
4305,52
4121,65
1707,59
4194,66
1840,31
1804,66
266,61
4835,52
2053,49
4309,39
2246,66
802,60
4624,68
323,28
1987,28
1626,60
2161,67
1201,35
4304,33
4295,31
2341,65
1586,61
481,61
981,49
2981,47
2366,82
4741,24
759,46
1420,34
1590,66
4618,76
1347,48
4207,28
2730,66
533,29
1631,52
646,40
1795,43
2122,68
537,57
1798,63
4396,23
4676,28
2688,35
451,58
1610,65
4122,44
4724,68
864,39
1901,66
878,65
4998,
3780,65
343,58
4564,57
1122,38
3982,17
3029,30
1123,12
4991,
2327,53
261,39
1482,63
4298,39
2307,55
4922,64
4587,47
2955,75
4170,26
2413,62
2248,69
1579,53
4117,47
1441,47
480,
2899,62
1439,37
3519,58
4822,24
4546,65
1850,36
5002,54
2253,33
403,74
4398,58
4898,62
436,68
3600,22
928,61
4758,34
5000,69
4404,48
4902,47
1848,67
1988,49
1740,49
1448,34
3960,26
4807,21
799,65
3125,63
3309,
1915,55
2000,40
2193,56
1739,
5008,54
5011,
5001,39
4832,63
4791,64
1384,47
406,61
453,35
4336,55
1941,56
4169,41
572,39
2535,51
3794,56
1320,
4113,
2736,34
3483,57
4499,47
2355,32
586,32
4931,36
1918,38
3877,77
1870,24
1553,47
356,57
1533,58
789,72
4841,62
4755,41
588,66
2626,61
4860,26
1673,67
4523,48
1990,61
520,19
736,54
2897,62
1368,62
1928,38
2768,16
2908,60
1625,46
4155,58
719,46
2348,61
2117,60
1015,69
3257,33
2031,54
3171,45
2077,49
1546,67
4226,57
4065,24
749,52
2758,33
4571,70
1505,53
2468,63
4829,46
5023,30
4608,63
4708,63
4607,
2938,36
4313,45
474,48
3266,22
4747,43
2178,58
3673,38
3851,22
4665,35
657,68
2255,29
606,57
4447,66
2619,25
2676,41
2347,
455,
4585,31
2554,30
4286,
349,33
2106,59
4440,42
1284,
1991,67
890,27
3943,20
4558,58
4237,34
4509,62
2995,25
1820,67
284,33
2561,63
1862,55
1178,39
445,70
1578,62
2497,58
4969,50
784,
4940,37
3132,22
4079,40
1667,64
2176,52
4613,51
3307,26
1104,42
2546,61
4256,59
1960,51
1481,39
4586,54
2548,57
1774,36
5036,34
2538,25
2308,64
2991,47
4310,
702,32
4337,33
3816,68
2399,58
4659,59
1929,37
2330,49
1125,46
1648,60
4338,40
4258,29
3068,64
3052,65
3448,48
3112,38
4047,66
1972,51
2684,50
2244,77
4772,29
4162,43
267,59
4667,46
3961,51
4266,61
984,53
2394,
3882,40
2008,55
2633,47
2620,47
2002,56
541,61
5038,63
3822,25
4552,48
3228,57
1773,
3624,57
2157,38
1953,61
638,37
4097,54
2558,60
4852,62
2282,47
4357,24
4743,30
495,77
1603,60
539,
4068,45
1682,48
4760,53
1958,42
3626,67
2695,45
3951,45
2495,31
872,32
1780,23
3133,30
4550,68
4316,31
4551,53
4448,36
1734,67
4662,41
2034,65
1468,51
3992,34
860,54
755,29
3295,61
929,32
2616,67
3820,49
3950,36
2988,49
5049,49
2729,82
3812,39
2391,29
4642,45
4528,61
5045,64
3828,60
1966,44
5046,36
372,34
295,39
2844,70
1055,46
2239,48
4779,48
3887,27
4327,49
2023,37
3452,36
1196,50
2459,31
1983,47
3885,29
4948,39
3889,31
4129,31
2870,
4044,31
5051,50
3126,62
4845,36
538,32
1105,56
4166,29
5053,43
3599,
1933,43
4377,
4403,54
2853,54
2609,54
3515,53
2046,71
4323,44
4688,51
2836,30
3861,41
1490,63
2396,38
381,41
3272,34
1728,
2148,38
4221,50
4661,21
4441,35
1454,32
2125,55
4092,56
2021,44
422,
2663,41
4863,32
4138,19
1538,56
4263,54
4813,
2562,52
684,69
2520,37
2914,
1343,37
4677,35
2073,63
4828,53
761,74
532,52
752,64
2257,49
5060,35
3357,
5061,69
4664,40
402,39
1087,
367,57
805,52
1588,62
2586,60
654,56
2016,56
4409,68
4413,32
2588,69
1789,73
2917,60
1127,
941,63
3354,52
862,44
4823,56
5062,62
3733,44
3216,61
315,47
540,72
501,33
1207,66
4673,42
2320,54
2627,22
1976,53
990,33
3545,59
4212,52
5071,40
5072,31
3457,25
2276,52
3623,21
2657,52
2467,46
1585,36
612,59
2129,71
3298,25
1040,43
4849,57
4484,43
4837,36
4476,33
3606,64
661,
2921,39
1328,38
4719,
510,28
4781,36
2681,24
2614,32
1465,38
4636,34
3226,47
1782,34
1450,58
469,65
1765,53
2110,
1559,66
3087,64
2280,20
4496,41
3211,45
2322,45
3316,69
3866,34
1232,63
4242,
2867,
3191,48
1423,37
531,34
4515,44
932,39
2766,51
1938,50
1828,
4340,82
4620,36
4695,
1215,33
528,43
2362,65
4095,33
1669,59
1573,38
1488,74
2700,27
4349,42
4470,31
1714,50
4063,58
3502,33
2840,
2652,
1959,70
5099,20
2318,46
1997,44
2734,40
1890,69
519,59
466,63
2569,35
712,
5105,61
2124,46
1668,71
4457,29
4887,33
425,78
388,35
3583,
447,70
3404,52
1764,79
3718,60
5106,
3438,50
4627,60
366,29
4937,30
1957,37
4321,26
2666,23
1435,26
352,50
4202,48
4987,29
1469,44
3341,55
4100,
2424,27
5113,33
1818,68
4361,40
5114,42
4080,36
2934,62
4942,33
2685,57
621,57
2476,70
1418,
5118,57
1690,33
346,29
5120,42
1620,
5124,30
1026,64
1806,31
2417,73
4058,71
444,
5125,
1119,33
742,60
2842,28
5137,62
5139,61
5135,44
5142,17
4040,
2590,42
2233,65
1771,39
1507,69
3265,69
4246,35
2594,63
5149,36
5146,69
4749,63
4502,57
5148,41
3162,31
4106,41
5150,
5154,
5151,
5152,33
5153,35
4033,74
5159,
666,45
5162,24
5157,67
5166,37
5161,46
478,70
4583,39
5169,29
5173,17
3724,28
5171,56
5175,25
5187,28
5186,28
5190,26
5167,24
5191,69
4748,22
4820,55
2767,60
5184,36
514,64
4344,32
1956,60
5195,67
5197,63
4074,30
5199,24
5200,41
2979,
2428,55
5176,
5194,54
5202,31
2204,44
5193,29
5203,
4452,39
5209,
5214,37
2060,
5212,35
4622,69
5218,31
4201,58
4621,63
472,28
3139,64
5219,23
5220,28
5129,38
5141,45
1305,75
2042,62
3936,22
5225,48
1518,70
4052,27
1562,57
1381,
2361,63
5082,36
849,84
651,32
2954,78
5230,16
4268,44
5229,36
5235,68
2480,38
1638,39
1587,36
965,32
5236,57
4072,38
4666,56
5155,39
3669,42
5213,42
4671,39
5239,47
819,29
441,36
5243,34
5238,30
5245,34
3431,44
5242,18
5246,37
5248,
3233,38
1188,34
5249,20
3651,74
5240,63
5244,69
5252,48
2334,
1253,70
3288,67
5251,48
5255,37
1892,41
2837,43
2519,52
5256,60
5247,34
5257,27
5259,24
2612,
5261,
4692,33
5264,
3536,66
2948,35
5267,49
5269,
5271,21
3332,40
2056,46
5277,29
5278,39
5279,39
4462,49
5275,25
2532,74
1383,31
4488,47
5289,55
4874,53
848,55
5297,60
5296,82
4064,39
3648,
607,27
915,68
2057,59
5302,
5217,61
3692,
4730,56
5304,
5306,36
4640,71
307,76
303,65
5301,49
4435,62
3022,66
1025,31
4008,39
5308,
3558,
788,64
5309,
2658,25
5312,60
5315,35
1647,58
3050,59
5323,30
1142,24
3500,53
5276,49
5322,22
2155,67
2529,50
1510,47
698,39
1409,27
2331,73
3636,
3563,32
5329,47
5300,
5327,
3978,49
1670,50
3622,40
5324,59
5334,27
3696,66
5332,68
5328,28
5337,25
1912,48
5335,35
1777,
1717,40
5339,42
4635,23
5232,59
2516,33
4372,26
4631,31
1887,67
5343,25
1970,55
5260,
2656,
5353,34
681,
3002,56
2601,41
5351,23
2208,34
3666,20
5340,70
461,32
582,28
1283,63
573,56
5223,66
5228,58
4054,28
1575,58
4010,29
3435,73
2020,34
3330,26
1754,
2492,55
2880,26
3686,
5357,43
2748,26
1973,34
5365,21
5366,28
4735,43
3701,58
663,
3807,58
5371,
1600,58
3237,46
5364,63
1930,38
490,53
5316,
3331,35
5377,28
5379,
5378,21
5380,66
4208,34
2356,35
1392,36
4341,
4269,65
2691,60
3268,39
5376,61
707,
1292,
5382,58
5384,41
2857,61
2062,38
3187,37
4418,
5386,34
339,34
5389,51
5391,
1799,33
1197,38
5392,24
4193,29
5226,20
5362,29
4209,38
4446,58
1556,28
2907,59
823,38
5397,32
5399,37
5350,38
5402,63
4319,44
2082,81
3492,69
936,26
2629,35
5404,
1935,70
3117,54
1593,56
5412,19
2259,35
5406,63
4498,46
3498,45
5418,26
5417,76
5420,
4705,34
5419,21
2256,46
1598,61
4146,62
344,
5422,
670,
2551,67
1592,33
5367,
4005,56
2814,61
4581,66
5426,53
2134,69
2545,45
2668,
3348,18
4402,40
5433,27
5434,
4770,80
5115,63
5437,66
5435,64
3875,57
5436,70
3586,46
5313,40
675,28
2990,26
398,63
5439,76
5440,54
4753,38
2051,48
4959,63
329,33
2607,65
4842,50
3904,59
5444,21
3876,26
1155,43
687,78
1508,25
5451,36
3938,40
5457,38
5459,
2236,66
4751,61
334,30
5427,20
4073,23
483,
5461,37
5463,27
5470,
5416,26
2080,69
5234,
5471,30
2263,70
5477,28
5479,34
5480,
5465,31
5478,25
4844,31
5295,56
4381,58
1894,65
1768,60
3424,60
5117,
4424,27
1711,58
2437,70
5490,21
544,25
1749,40
1874,29
2567,40
5494,
5495,32
4425,
1470,51
2692,64
592,74
5496,28
5497,
2854,44
5498,29
408,40
5368,21
3078,39
5503,26
4511,58
5501,
4387,
5505,37
5318,24
5381,75
4442,28
4454,29
5507,30
4784,41
3717,46
3566,31
5512,
2249,68
571,57
3291,22
2896,33
3282,27
4103,
5516,32
731,24
1832,46
5482,68
5319,74
1735,33
623,67
4216,43
1950,70
2195,61
1163,37
616,61
3229,55
5523,68
781,31
1602,69
5527,35
3426,23
2339,55
5528,
1558,67
2340,31
4428,69
3860,82
5,
4825,51
818,30
545,
3200,34
2274,50
701,67
2168,31
3004,46
2180,63
5524,35
2470,57
5215,23
1082,
3944,43
2659,
5468,34
515,41
5519,
4843,60
405,53
416,48
479,53
4436,37
464,
2784,55
2128,48
4473,63
2935,38
1888,59
4060,41
4654,52
2764,38
2604,30
3250,47
5396,32
2573,39
3777,60
4445,29
2156,53
2933,67
2999,59
3069,62
4505,45
4731,
2481,58
3941,
1276,45
2003,54
4506,60
4491,50
5400,37
1998,52
2608,45
3406,24
2163,36
3408,63
2680,50
1542,59
3314,63
2906,62
3397,37
3138,
3109,26
2950,51
5520,71
1871,
3305,42
1969,48
4178,40
1390,
2089,46
2491,62
3958,38
1689,51
1483,34
1852,52
5250,31
4720,29
1974,60
2868,43
1744,21
1834,59
1534,65
4723,57
3602,48
3789,62
5373,62
2537,63
4087,30
301,60
5170,46
3269,39
1787,
2296,21
3578,28
717,74
1079,51
4711,31
4164,61
2171,47
4223,
1776,
5588,25
3832,62
5596,53
5411,
4260,37
3592,
5604,47
5602,38
1975,50
5165,
423,38
2776,
2731,61
5540,29
1569,70
1722,
4139,30
3359,35
5180,63
3477,
4643,60
3173,
4225,48
4371,
4888,
855,
5583,47
1937,
275,38
1757,45
2173,
4641,60
603,53
1124,23
2126,49
1726,73
1701,52
3593,41
2373,34
420,31
3093,47
1436,
3197,46
2040,
3472,44
5338,
5616,
5626,
4373,
2466,70
2742,
2956,36
5629,
940,50
5628,
1899,17
5589,
3235,54
4721,
2050,65
4794,
4196,
3382,
840,26
3505,61
5636,
5635,
5394,
3401,19
2272,
3144,35
3609,25
3678,
2967,67
3459,31
692,31
3287,
644,36
2142,
5645,25
5121,
5649,64
5646,24
3577,63
1519,64
1572,57
2843,74
5654,
2473,30
5652,
5655,
3166,26
2115,
2074,30
3948,
4736,29
3571,71
2350,60
2929,69
2785,
5670,22
4089,49
3964,29
